location,acci_counts
"(40.6909681, -73.9892198)",0
"(40.6917872, -73.9890093)",0
"(40.8068327, -73.9342151)",0
"(40.8061691, -73.9348588)",0
"(40.8057523, -73.9347088)",0
"(40.8417297, -73.9394169)",0
"(40.8411266, -73.9398609)",0
"(40.7194205, -73.9913214)",0
"(40.7196806, -73.9921746)",0
"(40.7215815, -73.9977854)",48
"(40.7203456, -73.9941173)",0
"(40.7214509, -73.9973979)",172
"(40.7208958, -73.9957503)",98
"(40.7211736, -73.9965747)",88
"(40.7206316, -73.9949663)",114
"(40.7024415, -74.0128371)",43
"(40.7024037, -74.0137608)",0
"(40.8655306, -73.9272714)",137
"(40.8615472, -73.924733)",32
"(40.8616308, -73.9247908)",5
"(40.863575, -73.926011)",98
"(40.7622894, -73.9723599)",211
"(40.762967, -73.973968)",305
"(40.7027326, -74.0122323)",0
"(40.7518406, -73.9996874)",0
"(40.7513227, -73.9991493)",0
"(40.8033856, -73.9291157)",0
"(40.8040325, -73.9278686)",0
"(40.7270946, -73.9915448)",88
"(40.7252621, -73.9922803)",0
"(40.7256721, -73.9921271)",0
"(40.7264167, -73.9918576)",0
"(40.748439, -73.98456)",246
"(40.7496934, -73.987522)",0
"(40.7150492, -73.9923771)",9
"(40.7143903, -73.9925559)",2
"(40.8513418, -73.9402247)",0
"(40.851404, -73.9412201)",0
"(40.8039386, -73.9521145)",0
"(40.8045666, -73.9516525)",0
"(40.8278508, -73.9351559)",0
"(40.8280057, -73.9349762)",0
"(40.7360129, -73.9936067)",250
"(40.7347938, -73.9907171)",120
"(40.7352048, -73.9916914)",139
"(40.8656391, -73.9284202)",38
"(40.7704017, -73.9876293)",77
"(40.7778282, -73.982206)",0
"(40.7741585, -73.9848805)",77
"(40.7747952, -73.9844165)",86
"(40.7766574, -73.9830593)",32
"(40.7710327, -73.9871585)",42
"(40.776047, -73.9835042)",32
"(40.7772952, -73.9825945)",70
"(40.7735379, -73.9853328)",45
"(40.7716655, -73.9866974)",45
"(40.7722879, -73.9862438)",44
"(40.7241854, -73.9909044)",1
"(40.723736, -73.9910072)",0
"(40.8007596, -73.961733)",0
